,algo,room,frame,room norm,frame norm,ratio,ratio_norm,ratio norm v2,mem_size
42,"PER (alpha:1, beta:0)",11.0,1000000000,0.7142857142857143,0.0,1.1e-08,inf,2.8299501128179756e-05,2
43,"PER (alpha:1, beta:0)",10.0,216014848,0.6428571428571429,0.7839915744589779,4.6293114073343696e-08,0.8199796576905434,0.0003174385645308362,2
44,"PER (alpha:1, beta:0)",7.0,927682560,0.42857142857142855,0.07231803242932167,7.54568459279864e-09,5.926204214561324,0.0,4
45,"PER (alpha:1, beta:0)",3.0,42860544,0.14285714285714285,0.9571472969506566,6.999444524082569e-08,0.1492530390173661,0.0005116118721318755,4
46,"PER (alpha:1, beta:0)",1.0,8192,0.0,1.0,0.0001220703125,0.0,1.0,4
47,"PER (alpha:1, beta:0)",1.0,8192,0.0,1.0,0.0001220703125,0.0,1.0,6
48,"PER (alpha:1, beta:0)",1.0,8192,0.0,1.0,0.0001220703125,0.0,1.0,6
49,"PER (alpha:1, beta:0)",1.0,8192,0.0,1.0,0.0001220703125,0.0,1.0,6
50,"PER (alpha:1, beta:0)",1.0,8192,0.0,1.0,0.0001220703125,0.0,1.0,8
51,"PER (alpha:1, beta:0)",1.0,8192,0.0,1.0,0.0001220703125,0.0,1.0,8
52,"PER (alpha:1, beta:0)",1.0,8192,0.0,1.0,0.0001220703125,0.0,1.0,8
